Symbol,Name,Price,Change,% Change,Volume
INTC,Intel Corporation,61.71,+2.76,+4.67%,141.375M
HOLX,"Hologic, Inc.",76.01,0.00,0.00%,101.956M
NVDA,NVIDIA Corporation,183.95,+1.87,+1.03%,97.732M
NOK,Nokia Oyj,9.55,+0.11,+1.17%,87.829M
PLTR,Palantir Technologies Inc.,130.49,-10.27,-7.30%,87.021M
PLUG,Plug Power Inc.,2.74,+0.09,+3.40%,72.416M
NIO,NIO Inc.,6.07,-0.31,-4.86%,68.462M
AMZN,"Amazon.com, Inc.",233.65,+12.40,+5.60%,64.947M
CRWV,"CoreWeave, Inc.",92.00,+3.10,+3.49%,61.093M
EOSE,"Eos Energy Enterprises, Inc.",5.95,+1.36,+29.63%,58.904M
TSLA,"Tesla, Inc.",345.80,+2.55,+0.74%,58.643M
GRAB,Grab Holdings Limited,3.68,+0.05,+1.38%,51.835M
SNAP,Snap Inc.,4.95,+0.22,+4.65%,51.677M
NU,Nu Holdings Ltd.,14.87,+0.36,+2.48%,51.48M
MARA,"MARA Holdings, Inc.",9.67,+0.17,+1.79%,45.893M
WULF,TeraWulf Inc.,19.03,+0.98,+5.43%,41.829M
SOFI,"SoFi Technologies, Inc.",16.27,-0.22,-1.33%,41.526M
MU,"Micron Technology, Inc.",421.67,+14.94,+3.67%,39.97M
BBD,Banco Bradesco S.A.,3.96,+0.06,+1.54%,38.537M
VG,"Venture Global, Inc.",12.99,-1.45,-10.04%,38.32M
NOW,"ServiceNow, Inc.",89.81,-7.66,-7.86%,38.149M
ABEV,Ambev S.A.,3.15,+0.07,+2.27%,36.066M
APLD,Applied Digital Corporation,25.57,-2.22,-7.99%,35.626M
ONDS,Ondas Inc.,9.14,-0.31,-3.28%,35.364M
BMNR,"Bitmine Immersion Technologies, Inc.",21.08,-0.44,-2.04%,34.71M
